Brands,Models,Version,Currency,Price,Urlpic,Year,KM,Fuel_type,Transmission,Location,Color,Cilinder,Upholstery,Engine
CHEVROLET,TRACKER,1.8 LT MT 2WD,USD,"US$ 13,500",https://cde.neoauto.pe/autos_usados/360x240/72317/72317_6799246.webp,2019,60200,Dual,Mecánica,"Lima, Lima",Plata,4,tela,"1,800 cc"
AUDI,Q5,2.0 TFSI QUATTRO,USD,"US$ 15,900",https://cde.neoauto.pe/autos_usados/360x240/565310/565310_7179172.webp,2012,83000,Gasolina,Automática - Secuencial,"Lima, Lima",Gris Metálico,4,tela,"2,000 cc"
PORSCHE,MACAN S,AWD,USD,"US$ 35,000",https://cde.neoauto.pe/autos_usados/360x240/394772/394772_5382594.webp,2016,46000,Gasolina,Automática - Secuencial,"Lima, Lima",Marrón Oscuro,6,Asientos de cuero,"3,000 cc"
VOLKSWAGEN,TIGUAN,4x4,USD,"US$ 12,500",https://cde.neoauto.pe/autos_usados/360x240/685669/685669_3575411.webp,2013,78414,Gasolina,Automática,"Lima, Lima",Gris Oscuro,4,Asientos de cuero,"2,000 cc"
MITSUBISHI,ASX,4x2,USD,"US$ 9,700",https://cde.neoauto.pe/autos_usados/360x240/732244/732244_2589719.webp,2012,68000,Gasolina,Mecánica,"Callao, Callao",Blanco,4,tela,"1,998 cc"
HONDA,PILOT,LX,USD,"US$ 13,800",https://cde.neoauto.pe/autos_usados/360x240/523774/523774_1601060.webp,2012,142000,Gasolina,Automática,"Lima, Lima",Chocolate,6,Asientos de cuero,"3,400 cc"
PEUGEOT,3008,4x2,USD,"US$ 26,500",https://cde.neoauto.pe/autos_usados/360x240/742121/742121_3172160.webp,2020,32000,Gasolina,Automática - Secuencial,"Lima, Lima",Blanco,4,tela,"1,600 cc"
SUBARU,IMPREZA,AWD,USD,"US$ 17,500",https://cde.neoauto.pe/autos_usados/360x240/261607/261607_4968049.webp,2017,36000,Gasolina,Automática,"Lima, Lima",Azul,4,tela,"2,000 cc"
CHEVROLET,SPIN,1.8 LTZ AT,USD,"US$ 11,900",https://cde.neoauto.pe/autos_usados/360x240/701904/701904_4846142.webp,2017,53876,Gasolina,Automática,"Lima, Lima",Blanco claro,4,tela,"1,796 cc"
HYUNDAI,TUCSON,4x2,USD,"US$ 29,500",https://cde.neoauto.pe/autos_usados/360x240/663165/663165_9942259.webp,2023,17199,Gas GLP,Automática - Secuencial,"Lima, Lima",Plata,4,tela,"2,000 cc"
PEUGEOT,208,4x2,USD,"US$ 11,700",https://cde.neoauto.pe/autos_usados/360x240/701904/701904_9734663.webp,2018,61243,Gasolina,Mecánica,"Lima, Lima",Blanco,4,tela,"1,199 cc"
